NameKR,OptionKR,IsRange,Min,Max,NameEN,OptionEN
아르마딜로,효과를 받는 동안 방어도 #% 증가,TRUE,56,60,of the Armadillo,#% increased Armour during Effect
임팔라,효과를 받는 동안 회피 #% 증가,TRUE,56,60,of the Impala,#% increased Evasion Rating during Effect
치타,효과를 받는 동안 이동 속도 #% 증가,TRUE,12,14,of the Cheetah,#% increased Movement Speed during Effect
안정화,효과를 받는 동안 막기 및 기절 회복 #% 증가,TRUE,75,80,of Stabilisation,#% increased Block and Stun Recovery during Effect
무지개,효과를 받는 동안 추가 원소 저항 #%,TRUE,37,40,of the Rainbow,#% additional Elemental Resistances during Effect
출혈 과다,효과를 받는 동안 공격 피해의 #%를 생명력으로 흡수,TRUE,0.8,,of Bloodletting,#% of Attack Damage Leeched as Life during Effect
고갈,효과를 받는 동안 주문 피해의 #%를 에너지 보호막으로 흡수,TRUE,0.8,,of Draining,#% of Spell Damage Leeched as Energy Shield during Effect
비둘기,효과를 받는 동안 공격 속도 #% 증가,TRUE,15,17,of the Dove,#% increased Attack Speed during Effect
말파리,효과를 받는 동안 시전 속도 #% 증가,TRUE,15,17,of the Horsefly,#% increased Cast Speed during Effect
절개,효과를 받는 동안 치명타 확률 #% 증가,TRUE,50,55,of Incision,#% increased Critical Strike Chance during Effect
형벌,"효과를 받는 동안 #%의 확률로 동결, 감전 및 점화 유발",TRUE,31,34,of Infliction,"#% chance to Freeze, Shock and Ignite during Effect"
끈기,효과를 받는 동안 #%의 확률로 기절 긴급회피,TRUE,51,55,of Tenaciousness,#% Chance to Avoid being Stunned during Effect
곰,효과를 받는 동안 플레이어에게 적용되는 냉각 효과 60% 감소,TRUE,60,65,of the Bear,#% reduced Effect of Chill on you during Effect
왜가리,효과를 받는 동안 플레이어에게 적용되는 감전 효과 #% 감소,TRUE,60,65,of the Heron,#% reduced Effect of Shock on you during Effect
올빼미,효과를 받는 동안 플레이어에게 적용되는 저주 효과 #% 감소,TRUE,60,65,of the Owl,#% reduced Effect of Curses on you during Effect
물개,효과를 받는 동안 51%의 확률로 냉각 긴급회피,TRUE,51,,of the Seal,#% chance to Avoid being Chilled during Effect
개복치,효과를 받는 동안 51%의 확률로 점화 긴급회피,TRUE,51,,of the Sunfish,#% chance to Avoid being Ignited during Effect
습지대 이끼,효과를 받는 동안 51%의 확률로 감전 긴급회피,TRUE,51,,of Bog Moss,#% chance to Avoid being Shocked during Effect
,효과를 받는 동안 중독 면역,FALSE,,,,Immunity to Poison during Effect
,효과를 받는 동안 감전 면역,FALSE,,,,Immunity to Shock during Effect
,효과를 받는 동안 동결 및 냉각 면역,FALSE,,,,Immunity to Freeze and Chill during Effect
,효과를 받는 동안 점화에 면역,FALSE,,,,Immunity to Ignite during Effect
,효과를 받는 동안 출혈 및 타락한 피 면역,FALSE,,,,Immunity to Bleeding and Corrupted Blood during Effect
,# 빈 접미어 속성 부여,FALSE,,,,# Empty Suffix Modifiers
